order_id;order_status;fecha_compra;monto_venta;valor_flete;total_pagado;deuda_pendiente;metodo_pago_principal
54282e97f61c23b78330c15b154c867d;shipped;2018-09-03 09:06:57.000;145.00;21.46;166.46;0.00;voucher
35a972d7f8436f405b56e36add1a7140;delivered;2018-08-29 15:00:37.000;84.99;8.76;93.75;0.00;credit_card
03ef5dedbe7492bdae72eec50764c43f;delivered;2018-08-29 14:52:00.000;24.90;8.33;33.23;0.00;credit_card
168626408cb32af0ffaf76711caae1dc;delivered;2018-08-29 14:18:28.000;45.90;15.39;61.29;0.00;voucher
0b223d92c27432930dfe407c6aea3041;delivered;2018-08-29 14:18:23.000;209.00;46.48;1021.92;-766.44;credit_card
52018484704db3661b98ce838612b507;delivered;2018-08-29 12:25:59.000;63.90;9.20;73.10;0.00;credit_card
d03ca98f59480e7e76c71fa83ecd8fb6;delivered;2018-08-29 11:06:11.000;109.90;9.52;119.42;0.00;credit_card
d70442bc5e3cb7438da497cc6a210f80;delivered;2018-08-29 10:22:35.000;6.90;7.39;14.29;0.00;credit_card
912859fef5a0bd5059b6d48fa79d121a;delivered;2018-08-29 09:48:09.000;169.80;8.45;178.25;0.00;credit_card
fb393211459aac00af932cd7ab4fa2cc;delivered;2018-08-29 09:14:11.000;99.00;7.95;106.95;0.00;credit_card
bee12e8653a04e76786e8891cfb6330a;delivered;2018-08-29 08:46:11.000;91.55;7.90;2486.25;-2386.80;credit_card
c84d88553f9878bf2c7ecda2eb211ece;delivered;2018-08-29 08:25:34.000;65.00;9.21;74.21;0.00;credit_card
4c867c2aac81653679eff07e922441a0;delivered;2018-08-28 22:51:54.000;29.99;8.37;38.36;0.00;credit_card
e7c290bfc31d7eed478c3d3d2d4d2953;delivered;2018-08-28 22:30:32.000;39.99;9.03;196.08;-147.06;credit_card
dbb786f88b6d4e52fe3cb5d771b979d6;delivered;2018-08-28 21:56:30.000;149.90;12.07;161.97;0.00;credit_card
3064071cf67a2cc381cd53b13055eac5;delivered;2018-08-28 21:56:12.000;19.90;7.56;27.46;0.00;credit_card
00b44ba3d7c4a5e9a9ebafef9150781d;delivered;2018-08-28 21:10:46.000;59.90;7.68;67.58;0.00;credit_card
cb9628da43a976b479b45230984a05b8;delivered;2018-08-28 20:49:17.000;712.90;0.00;712.90;0.00;credit_card
bda15d43b16684fa4eff328a7db33d8b;delivered;2018-08-28 19:44:25.000;119.99;9.00;128.99;0.00;credit_card
d99a07d049ac5c39f6f62edba8d57721;delivered;2018-08-28 19:32:31.000;99.90;11.72;111.62;0.00;credit_card
d4fae577806d683110e00e18a5e181be;delivered;2018-08-28 19:32:05.000;49.99;3.57;139.43;-85.87;UPI
d4fae577806d683110e00e18a5e181be;delivered;2018-08-28 19:32:05.000;17.90;10.72;418.29;-389.67;UPI
20db59f6705840a0ce5c76b77487ad03;delivered;2018-08-28 19:31:41.000;84.90;8.01;371.64;-278.73;credit_card
6d6783e9e03bc56ba0d4f018d45babe3;delivered;2018-08-28 19:27:43.000;29.90;7.47;37.37;0.00;credit_card
141d7ee98d9a50269f84d9a3c5330cba;delivered;2018-08-28 18:58:13.000;30.00;8.37;38.37;0.00;credit_card
0ac69790e2a6e4c075edbd78648a3594;delivered;2018-08-28 18:49:20.000;7.50;7.39;14.89;0.00;debit_card
ab7a53a8e94cab448240ff654797c44e;delivered;2018-08-28 17:39:38.000;249.90;9.91;259.81;0.00;credit_card
93d7e1f0c5415c1a0679635187700f1d;delivered;2018-08-28 16:33:22.000;179.00;37.58;216.58;0.00;credit_card
986983dd21e5167fac109fadaf7aac16;delivered;2018-08-28 15:58:28.000;250.00;10.50;260.50;0.00;credit_card
2c1f8fd9aa5f50ec17f4c95e52223a3a;delivered;2018-08-28 15:53:09.000;41.80;16.56;58.36;0.00;voucher
9344079d5fbb7dd79af908b7eb667db7;delivered;2018-08-28 15:11:49.000;169.00;19.13;188.13;0.00;UPI
c59712a9767189f0a1e5258b5c3447b0;delivered;2018-08-28 14:37:52.000;59.00;7.67;66.67;0.00;credit_card
d2ce2764e877473355ddb49af8eb3bc5;delivered;2018-08-28 14:32:59.000;103.00;17.93;120.93;0.00;credit_card
f9e254c56ad8dc27d6fd34b26f94711f;delivered;2018-08-28 14:11:30.000;19.00;8.29;27.29;0.00;credit_card
dd7fbf8b53b7ffa059c926a77c42f04f;delivered;2018-08-28 14:01:04.000;116.50;10.13;126.63;0.00;credit_card
dec9169d4f8c2e229d7421e28ef70781;delivered;2018-08-28 13:29:17.000;49.00;16.53;65.53;0.00;credit_card
7b4f660a72183fc98991998a65320863;delivered;2018-08-28 13:28:34.000;14.50;7.39;21.89;0.00;credit_card
d01395763bb11d18d9482f322715b80d;delivered;2018-08-28 12:48:50.000;150.90;9.22;160.12;0.00;credit_card
a305557a41b3c1889b8e0d9255f9ef1a;delivered;2018-08-28 12:38:17.000;63.99;11.47;75.46;0.00;credit_card
a5faf579cc2b53168cc080836b834078;delivered;2018-08-28 12:18:54.000;12.00;7.39;19.39;0.00;credit_card
18995da0f41134f344ebeb2e97965d2d;delivered;2018-08-28 11:51:45.000;58.20;7.83;66.03;0.00;credit_card
576466ecdb1ad73bb848943a98649668;delivered;2018-08-28 11:26:59.000;18.99;7.39;26.38;0.00;credit_card
b0abfb398741998a8e47cc773b5e0edb;delivered;2018-08-28 11:26:02.000;39.90;7.54;47.44;0.00;credit_card
